word,probability,group,category,kind,meaning
furious,0.795329,leave,PC,负面用词,愤怒
commonwealth,0.945907,leave,PC,政治现实,英联邦
juncker,0.926223,leave,PC,政客官僚,欧盟主席容克
eurocrats,0.920997,leave,PC,政客官僚,欧盟官僚
brussels,0.793114,leave,PC,政客官僚,布鲁塞尔
collaboration,0.949893,remain,PA,理念,合作
collective,0.878765,remain,PA,理念,集体
community,0.82206,remain,PA,理念,共同体
connected,0.899205,remain,PA,理念,相连
created,0.856062,remain,PA,理念,创造
division,0.878765,remain,PA,理念,分裂
futures,0.856062,remain,PA,理念,未来
generation,0.822897,remain,PA,理念,一代
globalization,0.856062,remain,PA,理念,全球化
internationalist,0.917705,remain,PA,理念,国际主义者
isolationism,0.917705,remain,PA,理念,孤立主义
nationalism,0.95493,remain,PA,理念,民族主义
nationalist,0.816869,remain,PA,理念,民族主义者
opening,0.847925,remain,PA,理念,开放
outlook,0.816869,remain,PA,理念,前景
racial,0.833836,remain,PA,理念,种族的
racism,0.899205,remain,PA,理念,种族主义
responsibility,0.869976,remain,PA,理念,责任
role,0.847925,remain,PA,理念,角色
share,0.935471,remain,PA,理念,共享
perspective,0.924623,remain,理念,远景
spirit,0.833836,remain,PA,理念,精神
value,0.928623,remain,PA,理念,价值观
worldview,0.899205,remain,PA,理念,世界观
artists,0.924623,remain,EA,行业,艺术家
chemicals,0.886441,remain,EA,行业,药品
climate,0.87597,remain,EA,行业,气候
cultural,0.828541,remain,EA,行业,文化
environmental,0.924623,remain,EA,行业,环境
science,0.841193,remain,EA,行业,科学
technology,0.924623,remain,EA,行业,技术
theatre,0.816869,remain,EA,行业,剧院
universities,0.816869,remain,EA,行业,大学
assets,0.816869,remain,EA,经济高上大,资产
morgan,0.778012,remain,EA,经济高上大,摩根投行
banking,0.87597,remain,EA,经济高上大,银行业
barclays,0.90939,remain,EA,经济高上大,巴克莱银行
benchmark,0.917705,remain,EA,经济高上大,基准
benefit,0.847925,remain,EA,经济高上大,获益的
bonds,0.899205,remain,EA,经济高上大,债券
clients,0.917705,remain,EA,经济高上大,客户
company,0.785594,remain,EA,经济高上大,公司
currencies,0.833836,remain,EA,经济高上大,货币
devaluation,0.869976,remain,EA,担忧,贬值
dollar,0.847925,remain,EA,经济高上大,美元
economics,0.816869,remain,EA,经济高上大,经济
exchange,0.811366,remain,EA,经济高上大,交易所
funds,0.87597,remain,EA,经济高上大,基金
gains,0.90939,remain,EA,经济高上大,收益
index,0.869976,remain,EA,经济高上大,指数
inflation,0.886441,remain,EA,担忧,通货膨胀
investor,0.913748,remain,EA,经济高上大,投资者
jaguar,0.886441,remain,EA,经济高上大,捷豹
liquidity,0.847925,remain,EA,经济高上大,流动性
markets,0.853761,remain,EA,经济高上大,市场
offshore,0.90939,remain,EA,经济高上大,离岸
partner,0.847925,remain,EA,经济高上大,合作伙伴
profits,0.943589,remain,EA,经济高上大,利润
rover,0.886441,remain,EA,经济高上大,陆虎
startups,0.816869,remain,EA,经济高上大,创业企业
sterling,0.979571,remain,EA,经济高上大,英镑
stock,0.816869,remain,EA,经济高上大,股票
volatility,0.946928,remain,EA,经济高上大,挥发性
workforce,0.859812,remain,EA,经济高上大,劳动力
challenges,0.913748,remain,EA,担忧,挑战
breakup,0.816869,remain,EA,担忧,分手
consequences,0.793913,remain,EA,担忧,后果
fall,0.838814,remain,EA,担忧,下跌
fragile,0.886441,remain,EA,担忧,脆弱
risks,0.869976,remain,EA,担忧,风险
shares,0.847925,remain,EA,担忧,股份
uncertainty,0.821428,remain,EA,担忧,不确定性
weakened,0.816869,remain,EA,担忧,削弱
analysts,0.924623,remain,EA,经济高上大,分析师
institute,0.833836,remain,EA,经济高上大,机构
authority,0.833836,remain,PC,政客官僚,官方
ecb,0.935471,remain,PC,政客官僚,欧洲央行
policymakers,0.924623,remain,PC,政客官僚,政策制定者
appears,0.788008,remain,NONE,用词斯文,看起来
flaws,0.816869,remain,NONE,用词斯文,缺陷
relatively,0.816869,remain,NONE,用词斯文,相对地
employers,0.924623,remain,EC,接地气,雇主
employs,0.899205,remain,EC,接地气,雇佣
income,0.803492,remain,EC,接地气,收入
price,0.913748,remain,EC,接地气,价格
irish,0.88349,remain,PC,不消极,爱尔兰
russia,0.886441,remain,PC,不消极,俄罗斯
safety,0.856062,remain,PC,不消极,安全
territory,0.816869,remain,PC,不消极,国土
